id,created_at,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,section,question_type,level,difficulty,random_order,type,manual_review,media_url,updated_at,used_count
1,2024-10-20,He ___ happy every day.,is,are,was,were,is,Grammar,multiple choice,1,1,TRUE,"simple present, agreement",FALSE,null,2024-10-20,0
2,2024-10-20,I ___ my homework every night.,does,do,did,doing,do,Grammar,multiple choice,1,1,TRUE,"simple present, verb",FALSE,null,2024-10-20,0
3,2024-10-20,They ___ to the park on Sundays.,goes,go,went,going,go,Grammar,multiple choice,1,1,TRUE,"simple present, verb",FALSE,null,2024-10-20,0
4,2024-10-20,Choose the correct article: He has ____ apple.,a,an,the,none,an,Grammar,multiple choice,1,1,TRUE,articles,FALSE,null,2024-10-20,0
5,2024-10-20,How many ___ are there? (book),book,books,book’s,books’,books,Grammar,multiple choice,1,1,TRUE,plurals,FALSE,null,2024-10-20,0
6,2024-10-20,She ___ a teacher.,is,are,am,be,is,Grammar,multiple choice,1,1,TRUE,"simple present, verb",FALSE,null,2024-10-20,0
7,2024-10-20,The dogs ____ hungry.,is,are,am,be,are,Grammar,multiple choice,1,1,TRUE,agreement,FALSE,null,2024-10-20,0
8,2024-10-20,Does she ____ her homework?,do,doing,did,does,does,Grammar,multiple choice,1,1,TRUE,simple present,FALSE,null,2024-10-20,0
9,2024-10-20,The cat is on the _____.,table,tables,table’s,tables’,table,Grammar,multiple choice,1,1,TRUE,prepositions,FALSE,null,2024-10-20,0
10,2024-10-20,The car ____ blue.,is,are,were,be,is,Grammar,multiple choice,1,1,TRUE,"simple present, adjectives",FALSE,null,2024-10-20,0
11,2024-10-20,True/False: She eats breakfast every morning.,TRUE,FALSE,N/A,N/A,TRUE,Grammar,true/false,1,1,FALSE,simple present,FALSE,null,2024-10-20,0
12,2024-10-20,"Choose the plural form: One dog, two _____.",dog,dogs,dog’s,dogs’,dogs,Grammar,multiple choice,1,1,TRUE,plurals,FALSE,null,2024-10-20,0
13,2024-10-20,He ____ to school every day.,go,goes,going,went,goes,Grammar,multiple choice,1,1,TRUE,simple present,FALSE,null,2024-10-20,0
14,2024-10-20,True/False: The books is on the table.,TRUE,FALSE,N/A,N/A,FALSE,Grammar,true/false,1,1,FALSE,agreement,FALSE,null,2024-10-20,0
15,2024-10-20,I ____ my homework every night.,do,doing,did,done,do,Grammar,multiple choice,1,1,TRUE,present tense,FALSE,null,2024-10-20,0
16,2024-10-20,She is ____ a book.,read,reads,reading,to read,reading,Grammar,multiple choice,1,2,TRUE,present continuous,FALSE,null,2024-10-20,0
